IDDOCUMENTO;PRIMOIDENTIFICATIVO;ULTIMOIDENTIFICATIVO;DATASCADENZAAFFITTO;SUPERFICIEUBA;CUAATERZOSOGGETTO;STATO
APPAG.TT.2016.107TN002.020;11190367;;;;;
APPAG.TT.2016.107TN002.020;11190368;;;;;
APPAG.TT.2016.107TN002.020;11190369;;;;;
APPAG.TT.2016.107TN002.020;11190370;;;;;
APPAG.TT.2016.181TN006.002;7827634;;;;;
APPAG.TT.2016.181TN006.002;7827635;;;;;
APPAG.TT.2016.181TN006.002;7827636;;;;;
APPAG.TT.2016.181TN006.002;7827637;;;;;
APPAG.TT.2016.181TN006.002;7827638;;;;;
APPAG.TT.2016.181TN006.003;2987425;;;;;
APPAG.TT.2016.181TN006.003;2987426;;;;;
APPAG.TT.2016.181TN006.003;2987427;;;;;
APPAG.TT.2016.105TN001.006;11987264;;;;;
APPAG.TT.2016.105TN001.006;11987265;;;;;
APPAG.TT.2016.105TN001.006;11987266;;;;;
APPAG.TT.2016.105TN001.006;11987267;;;;;
APPAG.TT.2016.105TN001.006;11987268;;;;;
APPAG.TT.2016.105TN001.006;11987269;;;;;
APPAG.TT.2016.105TN001.006;11987270;;;;;
APPAG.TT.2016.105TN001.006;11987271;;;;;
APPAG.TT.2016.105TN001.006;11987272;;;;;
APPAG.TT.2016.105TN001.006;11987273;;;;;
APPAG.TT.2016.105TN001.006;11987274;;;;;
APPAG.TT.2016.105TN001.006;11987275;;;;;
APPAG.TT.2016.105TN001.006;11987276;;;;;
APPAG.TT.2016.105TN001.006;11987277;;;;;
APPAG.TT.2016.107TN002.023;10429674;;;;;
APPAG.TT.2016.107TN002.023;10429675;;;;;
APPAG.TT.2016.107TN002.023;10429676;;;;;
APPAG.TT.2016.107TN002.023;10429677;;;;;
APPAG.TT.2016.107TN002.023;10429678;;;;;
APPAG.TT.2016.107TN002.023;10429679;;;;;
APPAG.TT.2016.107TN002.023;10429680;;;;;
APPAG.TT.2016.107TN002.021;8490614;;;;;
APPAG.TT.2016.107TN002.021;8490615;;;;;
APPAG.TT.2016.107TN002.021;8490616;;;;;
APPAG.TT.2016.107TN002.021;8490617;;;;;
APPAG.TT.2016.107TN002.021;8490618;;;;;
APPAG.TT.2016.107TN002.021;8490619;;;;;
APPAG.TT.2016.107TN002.021;8490620;;;;;
APPAG.TT.2016.107TN002.021;8490621;;;;;
APPAG.TT.2016.107TN002.021;8490622;;;;;
APPAG.TT.2016.107TN002.021;8490623;;;;;
APPAG.TT.2016.107TN002.021;8490624;;;;;
APPAG.TT.2016.107TN002.021;8490625;;;;;
APPAG.TT.2016.107TN002.021;8490626;;;;;
APPAG.TT.2016.107TN002.021;8490627;;;;;
APPAG.TT.2016.107TN002.021;8490628;;;;;
APPAG.TT.2016.107TN002.021;8490629;;;;;
APPAG.TT.2016.107TN002.021;8490630;;;;;
APPAG.TT.2016.107TN002.021;8490631;;;;;
APPAG.TT.2016.107TN002.021;8490632;;;;;
APPAG.TT.2016.107TN002.021;8490633;;;;;
APPAG.TT.2016.107TN002.021;8490634;;;;;
APPAG.TT.2016.107TN002.021;8490635;;;;;
APPAG.TT.2016.107TN002.021;8490636;;;;;
APPAG.TT.2016.107TN002.021;8490637;;;;;
APPAG.TT.2016.107TN002.021;8490638;;;;;
APPAG.TT.2016.107TN002.021;8490639;;;;;
APPAG.TT.2016.107TN002.021;8490640;;;;;
APPAG.TT.2016.107TN002.021;8490641;;;;;
APPAG.TT.2016.107TN002.021;8490642;;;;;
APPAG.TT.2016.107TN002.021;8490643;;;;;
APPAG.TT.2016.107TN002.021;8490644;;;;;
APPAG.TT.2016.107TN002.021;8490645;;;;;
APPAG.TT.2016.107TN002.021;8490646;;;;;
APPAG.TT.2016.107TN002.021;8490647;;;;;
APPAG.TT.2016.107TN002.021;8490648;;;;;
APPAG.TT.2016.107TN002.021;8490649;;;;;
APPAG.TT.2016.107TN002.021;8490650;;;;;
APPAG.TT.2016.107TN002.021;8490651;;;;;
APPAG.TT.2016.107TN002.021;8490652;;;;;
APPAG.TT.2016.107TN002.021;8490653;;;;;
APPAG.TT.2016.107TN002.021;8490654;;;;;
APPAG.TT.2016.107TN002.021;8490655;;;;;
APPAG.TT.2016.107TN002.021;8490656;;;;;
APPAG.TT.2016.107TN002.021;8490657;;;;;
APPAG.TT.2016.107TN002.021;8490658;;;;;
APPAG.TT.2016.107TN002.021;8490659;;;;;
APPAG.TT.2016.107TN002.021;8490660;;;;;
APPAG.TT.2016.107TN002.021;8490661;;;;;
APPAG.TT.2016.107TN002.021;8490662;;;;;
APPAG.TT.2016.107TN002.021;8490663;;;;;
APPAG.TT.2016.107TN002.021;8490664;;;;;
APPAG.TT.2016.107TN002.021;8490665;;;;;
APPAG.TT.2016.107TN002.021;8490666;;;;;
APPAG.TT.2016.107TN002.021;8490667;;;;;
APPAG.TT.2016.107TN002.021;8490668;;;;;
APPAG.TT.2016.107TN002.021;8490669;;;;;
APPAG.TT.2016.107TN002.021;8490670;;;;;
APPAG.TT.2016.107TN002.021;8490671;;;;;
APPAG.TT.2016.107TN002.021;8490672;;;;;
APPAG.TT.2016.107TN002.021;8490673;;;;;
APPAG.TT.2016.107TN002.021;8490674;;;;;
APPAG.TT.2016.107TN002.021;8490675;;;;;
APPAG.TT.2016.107TN002.021;8490676;;;;;
APPAG.TT.2016.107TN002.021;8490677;;;;;
APPAG.TT.2016.107TN002.021;8490678;;;;;
APPAG.TT.2016.107TN002.021;8490679;;;;;
APPAG.TT.2016.107TN002.021;8490680;;;;;
APPAG.TT.2016.107TN002.021;8490681;;;;;
APPAG.TT.2016.107TN002.021;8490682;;;;;
APPAG.TT.2016.107TN002.021;8490683;;;;;
APPAG.TT.2016.107TN002.021;8490684;;;;;
APPAG.TT.2016.107TN002.021;8490685;;;;;
APPAG.TT.2016.107TN002.021;8490686;;;;;
APPAG.TT.2016.107TN002.021;8490687;;;;;
APPAG.TT.2016.107TN002.021;8490688;;;;;
APPAG.TT.2016.107TN002.021;8490689;;;;;
APPAG.TT.2016.107TN002.021;8490690;;;;;
APPAG.TT.2016.107TN002.021;8490691;;;;;
APPAG.TT.2016.107TN002.021;8490692;;;;;
APPAG.TT.2016.107TN002.021;8490693;;;;;
APPAG.TT.2016.107TN002.021;8490694;;;;;
APPAG.TT.2016.107TN002.021;8490695;;;;;
APPAG.TT.2016.107TN002.021;8490696;;;;;
APPAG.TT.2016.107TN002.021;8490697;;;;;
APPAG.TT.2016.107TN002.021;8490698;;;;;
APPAG.TT.2016.107TN002.021;8490699;;;;;
APPAG.TT.2016.107TN002.021;8490700;;;;;
APPAG.TT.2016.107TN002.021;8490701;;;;;
APPAG.TT.2016.107TN002.021;8490702;;;;;
APPAG.TT.2016.107TN002.021;8490703;;;;;
APPAG.TT.2016.107TN002.021;8490704;;;;;
APPAG.TT.2016.107TN002.021;8490705;;;;;
APPAG.TT.2016.107TN002.021;8490706;;;;;
APPAG.TT.2016.107TN002.021;8490707;;;;;
APPAG.TT.2016.107TN002.021;8490708;;;;;
APPAG.TT.2016.107TN002.021;8490709;;;;;
APPAG.TT.2016.107TN002.021;8490710;;;;;
APPAG.TT.2016.107TN002.021;8490711;;;;;
APPAG.TT.2016.107TN002.021;8490712;;;;;
APPAG.TT.2016.107TN002.021;8490713;;;;;
APPAG.TT.2016.107TN002.021;8490714;;;;;
APPAG.TT.2016.107TN002.021;8490715;;;;;
APPAG.TT.2016.107TN002.021;8490716;;;;;
APPAG.TT.2016.107TN002.021;8490717;;;;;
APPAG.TT.2016.107TN002.021;8490718;;;;;
APPAG.TT.2016.107TN002.021;8490719;;;;;
APPAG.TT.2016.107TN002.021;8490720;;;;;
APPAG.TT.2016.107TN002.021;8490721;;;;;
APPAG.TT.2016.107TN002.021;8490722;;;;;
APPAG.TT.2016.107TN002.021;8490723;;;;;
APPAG.TT.2016.107TN002.021;8490724;;;;;
APPAG.TT.2016.107TN002.021;8490725;;;;;
APPAG.TT.2016.107TN002.021;8490726;;;;;
APPAG.TT.2016.107TN002.021;8490727;;;;;
APPAG.TT.2016.107TN002.021;8490728;;;;;
APPAG.TT.2016.107TN002.021;8490729;;;;;
APPAG.TT.2016.107TN002.021;8490730;;;;;
APPAG.TT.2016.107TN002.021;8490731;;;;;
APPAG.TT.2016.107TN002.021;8490732;;;;;
APPAG.TT.2016.107TN002.021;8490733;;;;;
APPAG.TT.2016.107TN002.021;8490734;;;;;
APPAG.TT.2016.107TN002.021;8490735;;;;;
APPAG.TT.2016.107TN002.021;8490736;;;;;
APPAG.TT.2016.107TN002.021;8490737;;;;;
APPAG.TT.2016.107TN002.021;8490738;;;;;
APPAG.TT.2016.107TN002.021;8490739;;;;;
APPAG.TT.2016.107TN002.021;8490740;;;;;
APPAG.TT.2016.107TN002.021;8490741;;;;;
APPAG.TT.2016.107TN002.021;8490742;;;;;
APPAG.TT.2016.107TN002.021;8490743;;;;;
APPAG.TT.2016.107TN002.021;8490744;;;;;
APPAG.TT.2016.107TN002.021;8490745;;;;;
APPAG.TT.2016.107TN002.021;8490746;;;;;
APPAG.TT.2016.107TN002.021;8490747;;;;;
APPAG.TT.2016.107TN002.021;8490748;;;;;
APPAG.TT.2016.107TN002.021;8490749;;;;;
APPAG.TT.2016.107TN002.021;8490750;;;;;
APPAG.TT.2016.107TN002.021;8490751;;;;;
APPAG.TT.2016.107TN002.021;8490752;;;;;
APPAG.TT.2016.107TN002.021;8490753;;;;;
APPAG.TT.2016.107TN002.021;8490754;;;;;
APPAG.TT.2016.107TN002.021;8490755;;;;;
APPAG.TT.2016.107TN002.021;8490756;;;;;
APPAG.TT.2016.107TN002.021;8490757;;;;;
APPAG.TT.2016.107TN002.021;8490758;;;;;
APPAG.TT.2016.107TN002.021;8490759;;;;;
APPAG.TT.2016.107TN002.021;8490760;;;;;
APPAG.TT.2016.107TN002.021;8490761;;;;;
APPAG.TT.2016.107TN002.021;8490762;;;;;
APPAG.TT.2016.107TN002.021;8490763;;;;;
APPAG.TT.2016.107TN002.021;8490764;;;;;
